interview__key,hh_final_weight,ind_weights
49-94-52-10,16.71428571,46.07407407
94-17-00-59,16.71428571,46.07407407
76-37-43-74,16.71428571,46.07407407
17-90-07-89,16.71428571,57.59259259
68-05-15-00,16.71428571,57.59259259
32-00-88-09,16.71428571,23.03703704
38-59-25-37,16.71428571,34.55555556
33-99-18-11,0,0
89-70-80-67,0,0
12-76-62-06,0,0
70-39-84-68,13,22.1025641
42-92-80-67,13,66.30769231
11-01-14-36,13,22.1025641
69-87-53-12,13,66.30769231
21-77-41-34,13,22.1025641
16-96-35-57,13,44.20512821
05-07-75-43,13,33.15384615
70-09-21-46,13,33.15384615
25-55-73-60,13,11.05128205
48-47-47-23,13,22.1025641
62-03-14-36,13,11.05128205
90-64-10-44,13,33.15384615
72-77-35-93,13,22.1025641
36-74-24-24,13,22.1025641
60-19-98-96,0,0
31-95-11-55,14.22222222,45.23076923
93-03-41-51,14.22222222,30.15384615
53-25-83-14,14.22222222,60.30769231
40-77-20-11,14.22222222,30.15384615
21-44-60-07,14.22222222,30.15384615
90-28-47-13,14.22222222,30.15384615
75-03-90-29,14.22222222,30.15384615
28-90-62-51,14.22222222,30.15384615
31-26-97-43,14.22222222,45.23076923
62-97-67-45,14.22222222,15.07692308
40-15-30-54,14.22222222,30.15384615
94-21-90-89,14.22222222,45.23076923
45-78-13-67,14.22222222,45.23076923
14-84-77-58,14.22222222,30.15384615
95-27-53-26,14.22222222,30.15384615
73-20-21-61,14.22222222,15.07692308
56-37-18-28,14.22222222,15.07692308
72-07-51-92,14.22222222,30.15384615
17-39-72-74,0,0
62-61-21-33,0,0
18-55-85-37,0,0
51-63-86-65,0,0
58-50-78-76,0,0
16-58-52-66,15.52941176,88.88888889
13-11-07-69,0,0
64-44-86-43,15.52941176,35.55555556
79-84-63-04,15.52941176,35.55555556
27-65-38-79,15.52941176,35.55555556
37-38-79-37,15.52941176,53.33333333
29-02-08-67,15.52941176,53.33333333
94-97-63-86,15.52941176,17.77777778
30-85-66-69,15.52941176,35.55555556
39-04-30-36,15.52941176,35.55555556
20-98-11-58,15.52941176,17.77777778
72-12-77-52,15.52941176,17.77777778
93-18-68-44,15.52941176,53.33333333
83-88-94-61,15.52941176,71.11111111
10-89-03-36,15.52941176,17.77777778
83-98-94-94,15.52941176,17.77777778
91-04-38-37,15.52941176,17.77777778
22-61-02-91,15.52941176,35.55555556
22-38-77-76,0,0
75-83-40-71,0,0
81-13-30-78,0,0
76-79-35-17,0,0
40-80-75-99,13.45833333,26.90909091
57-85-09-97,13.45833333,13.45454545
38-14-96-55,13.45833333,40.36363636
95-06-67-70,13.45833333,26.90909091
07-19-03-61,13.45833333,53.81818182
20-59-58-93,13.45833333,26.90909091
68-22-93-91,13.45833333,26.90909091
48-28-00-91,0,0
05-96-75-25,13.45833333,26.90909091
69-39-16-97,13.45833333,26.90909091
94-38-73-73,13.45833333,13.45454545
71-84-55-54,13.45833333,80.72727273
15-17-26-89,13.45833333,67.27272727
82-77-73-57,13.45833333,26.90909091
84-31-59-44,13.45833333,26.90909091
27-46-82-19,13.45833333,13.45454545
55-46-50-22,13.45833333,26.90909091
64-74-43-76,13.45833333,26.90909091
25-95-31-69,13.45833333,13.45454545
06-18-47-15,13.45833333,40.36363636
01-31-32-65,13.45833333,26.90909091
91-93-23-60,13.45833333,40.36363636
82-23-76-47,13.45833333,26.90909091
42-81-52-30,13.45833333,26.90909091
57-32-09-70,13.45833333,13.45454545
57-23-77-77,0,0
93-54-33-35,0,0
32-12-79-81,0,0
29-72-17-77,14.53333333,24.13953488
86-10-36-44,0,0
22-75-04-83,14.53333333,24.13953488
62-45-13-73,14.53333333,36.20930233
25-01-70-77,14.53333333,48.27906977
65-18-67-64,14.53333333,24.13953488
00-65-06-11,14.53333333,48.27906977
19-10-96-06,14.53333333,48.27906977
09-96-93-67,14.53333333,36.20930233
82-58-82-99,14.53333333,24.13953488
65-43-71-00,14.53333333,12.06976744
79-19-69-76,14.53333333,60.34883721
01-90-72-85,14.53333333,36.20930233
43-90-89-45,14.53333333,48.27906977
85-70-20-55,14.53333333,24.13953488
05-77-74-26,14.53333333,24.13953488
17-83-49-08,0,0
15-33-67-14,0,0
62-40-80-37,0,0
86-53-37-18,0,0
83-25-54-55,0,0
79-28-40-99,15.31818182,65.87234043
30-68-97-31,15.31818182,32.93617021
45-44-86-08,15.31818182,32.93617021
53-01-80-41,15.31818182,32.93617021
61-56-79-02,15.31818182,16.46808511
99-64-43-92,0,0
74-03-10-86,15.31818182,32.93617021
61-02-52-25,15.31818182,65.87234043
34-94-94-43,15.31818182,49.40425532
85-29-87-42,15.31818182,16.46808511
39-23-16-42,15.31818182,32.93617021
71-78-33-32,15.31818182,32.93617021
98-47-90-65,0,0
29-84-81-20,15.31818182,49.40425532
53-48-39-75,15.31818182,16.46808511
89-78-14-49,15.31818182,32.93617021
53-35-49-40,15.31818182,65.87234043
04-22-46-13,15.31818182,49.40425532
74-88-95-44,15.31818182,16.46808511
56-03-50-63,15.31818182,16.46808511
66-25-42-00,15.31818182,49.40425532
35-42-66-88,15.31818182,16.46808511
54-83-23-77,15.31818182,32.93617021
26-74-13-73,15.31818182,16.46808511
